MariaDB 1 entry,Try 1 indexed,Try 2 indexed,Try 3 indexed,Avrage indexed,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"97,97","99,88","98,96","100,03","99,34","98,78","100,06","99,77","100,12","99,83",,,,,,,,,,,,,,,,
5,"2,35","2,44","2,51","2,6","2,69","2,72","2,44","2,36","2,4","2,47","59,97",,,,,,,,,,,,,,,
,"1,36","0,82","1,34","1,52","0,95","1,49","1,17","0,95","1,48","1,40%",,,,,,,,,,,,,,,,
,"3,4","1,91","1,95","2,07","1,91","1,99%","1,87","2,02","1,92","2,1",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,"85,147","98,922","99,393","99,474","2,498","1,109","1,917",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1,,,,,,,,Q2,,,,,,,,,,,,,,,,,
,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,,
1,"0,412","0,018","1,026","1,035",,,,1,"0,392","0,147","0,662","1,464",,,,,,,,,,,,,,
1000,"3,401","1,493","2,403","3,852",,,,1000,"8,19","3,487","6,565","9,355",,,,,,,,,,,,,,
10000,"8,673","9,112","12,414","12,643",,,,10000,"25,737","42,153","11,355","36,597",,,,,,,,,,,,,,
100000,"77,831","78,217","96,607","85,147",,,,100000,"108,935","108,644","100,006","98,922",,,,,,,,,,,,,,
Maria Indexed,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,Q3,,,,,,,,,,,,,,,,
1,"0,412","0,477","0,532","0,488","0,646","0,465","0,449",,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,
1000,"3,401","8,372","8,211","6,259","0,959","1,038","0,824",,1,"0,532","0,558","0,616","1,842",,,,,,,,,,,,,
10000,"8,673","25,737","25,352","17,461","1,09","0,849","0,722",,1000,"8,211","3,741","8,36","9,865",,,,,,,,,,,,,
100000,"77,831","108,935","111,523","98,824","1,101","0,797","0,787",,10000,"25,352","47,792","11,132","58,006",,,,,,,,,,,,,
,,,,,,,,,100000,"111,523","116,85","93,133","99,393",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
 Maria no index,,,,,,,,,,,,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,,,,,,,,,,,,,,,,,
1,"0,018","0,236","0,558","0,379","15,628","0,352","0,814",,,Q4,,,,,,,,,,,,,,,,
1000,"1,493","3,487","3,741","2,642","0,926","0,719","0,791",,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,
10000,"9,112","42,153","47,792","34,696","0,873","0,731","1,447",,1,"0,488","0,379","0,579","1,627",,,,,,,,,,,,,
100000,"78,217","108,644","116,85","90,285","0,93","0,711","5,952",,1000,"6,259","2,642","6,304","6,367",,,,,,,,,,,,,
,,,,,,,,,10000,"17,461","34,696","48,742","37,969","7,566",,,,,,,,,,,,
,,,,,,,,,100000,"98,824","90,285","99,711","99,474",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
PostgreSQL Indexed,,,,,,,,,,Q5,,,,,,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,
1,"1,026","0,662","0,616","0,579","1,703","78,183","771,08",,1,"0,646","0,628","2,02","1,753","0,986",,,,,,,,,,,,
1000,"2,403","6,565","8,36","6,304","1,32","0,608","1,191",,1000,"0,946","0,819","2,04","1,753","0,926",,,,,,,,,,,,
10000,"12,414","11,355","11,132","7,55","1,306","1,309","1,898",,10000,"1,09","0,883","2,29","1,92","0,863",,,,,,,,,,,,
100000,"96,607","100,006","93,133","99,711","2,387","2,313","2,001",,100000,"1,101","0,939","2,48","1,997","0,871",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q6,,,,,,,,,,,,,,,,
,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,
,,,,,,,,,1,"0,465","0,352","0,435","1,02","1,214",,,,,,,,,,,,
PostgreSQL Non-Index,,,,,,,,,1000,"0,987","0,719","0,608","1,05","1,417",,,,,,,,,,,,
,Q1,Q2,Q3,Q4,Q5,Q6,Q7,,10000,"1,003","0,731","0,746","1,153","1,492",,,,,,,,,,,,
1,"1,035","1,464","84,998","834,844","8335,363","1,228","1,79",,100000,"1,176","1,116","0,911","2,446","1,082","0,73",,,,,,,,,,,
1000,"3,852","9,355","9,865","6,367","2,305","1,422","1,98",,,,,,,,"0,726",,,,,,,,,,,
10000,"12,643","36,597","58,006","37,969","2,572","1,489","1,96",,,,,,,,"0,786",,,,,,,,,,,
100000,"85,147","98,922","99,393","99,474","66,891","1,109","1,752",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Q7,,,,,,,,,,,,,,,,
,,,,,,,,,,MariaDB Indexed,MariaDB,PostgreSQL Indexed,PostgreSQL,,,,,,,,,,,,,
,,,,,,,,,1,"0,449","0,76","0,923","1,5",,"1,947",,,,,,,,,,,
,,,,,,,,,1000,"0,723","0,823","1,191","1,563",,"1,79",,,,,,,,,,,
,,,,,,,,,10000,"0,773","1,447","1,898","1,63",,"1,98",,,,,,,,,,,
,,,,,,,,,100000,"1,07","5,952","2,001","2,41",,"1,96",,,,,,,,,,,
,,,,,,,,,,,,,,,"2,001",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"0,824","0,814",,,,,,,,,,,,,,,
